"Del","Vin","Pkg","Cst","Mil","Dom","Haz","Car"
9.5,6,6,13,1447,"C","H","M-Press Delivery"
11.9,18,7,7,1874,"I","N","Fed Post"
14.6,7,7,8,1865,"I","N","Fed Post"
17.5,11,5,16,3111,"I","H","M-Press Delivery"
10.7,12,4,10,1319,"C","H","Fed Post"
10.5,12,3,5,1415,"C","N","M-Press Delivery"
10.7,21,1,10,1599,"C","H","M-Press Delivery"
11.9,12,4,12,2361,"C","N","M-Press Delivery"
8.9,13,6,8,1394,"I","N","Fed Post"
7.4,16,5,10,1121,"I","H","M-Press Delivery"
10.8,11,8,11,1119,"C","H","Fed Post"
10.6,4,1,10,1889,"C","N","M-Press Delivery"
9.9,11,7,15,1429,"C","N","Fed Post"
7.9,17,7,9,1257,"C","N","M-Press Delivery"
10.7,10,2,13,1611,"C","N","Fed Post"
12.2,10,6,10,1839,"C","N","M-Press Delivery"
7,10,4,11,1065,"C","H","M-Press Delivery"
6.9,12,3,12,1592,"I","N","M-Press Delivery"
12,14,5,9,1567,"C","N","Fed Post"
8.7,11,4,10,1619,"C","H","M-Press Delivery"
11.8,13,5,7,2242,"C","N","Fed Post"
9.7,7,1,8,1161,"C","N","Fed Post"
8.9,12,5,7,1526,"C","N","Fed Post"
11,17,5,9,2081,"I","N","M-Press Delivery"
11.9,10,5,14,1735,"I","H","Fed Post"
9.7,18,3,11,1700,"I","N","Fed Post"
10.1,12,3,5,1388,"C","H","M-Press Delivery"
11.2,19,5,6,1389,"C","N","Fed Post"
6.7,11,3,6,1266,"I","H","M-Press Delivery"
11,13,7,14,1505,"I","N","M-Press Delivery"
11.5,11,5,10,1457,"C","N","Fed Post"
12.6,18,3,13,1927,"C","H","Fed Post"
14.9,13,4,9,1843,"I","H","Fed Post"
15.2,17,2,11,1943,"C","H","Fed Post"
12.8,13,4,8,1598,"C","H","Fed Post"
12.1,9,3,7,1881,"C","N","M-Press Delivery"
12.5,14,5,14,1963,"C","N","Fed Post"
6.2,14,4,19,1090,"C","N","M-Press Delivery"
9.7,12,9,10,1547,"C","H","Fed Post"
9.7,14,3,7,1762,"C","H","M-Press Delivery"
12,10,6,7,2326,"C","N","M-Press Delivery"
10.1,8,6,6,1194,"I","N","Fed Post"
10,13,5,7,1746,"C","N","Fed Post"
17.2,13,3,11,2131,"C","N","Fed Post"
11.2,20,1,12,1662,"C","N","M-Press Delivery"
12.2,9,2,15,1973,"I","N","Fed Post"
11.8,16,3,6,1972,"C","H","M-Press Delivery"
7.3,13,3,8,1322,"C","N","M-Press Delivery"
11.5,7,5,10,1597,"C","N","Fed Post"
8.3,16,3,7,1061,"C","N","Fed Post"
12.6,17,5,5,2143,"C","N","M-Press Delivery"
7.4,13,2,11,1199,"C","H","M-Press Delivery"
7.2,12,3,3,1371,"C","N","M-Press Delivery"
12,11,2,13,1820,"C","N","M-Press Delivery"
7.2,12,1,11,1072,"I","N","M-Press Delivery"
16.8,12,3,8,2440,"C","H","Fed Post"
6.8,12,4,5,903,"C","N","Fed Post"
15.2,21,1,10,2291,"C","N","Fed Post"
8.9,13,3,11,1435,"C","N","M-Press Delivery"
12.6,13,6,8,2075,"C","H","M-Press Delivery"
8.5,22,1,6,756,"C","N","Fed Post"
5,14,3,9,415,"I","N","Fed Post"
14,10,5,7,1975,"I","H","Fed Post"
9.8,13,6,13,1798,"I","N","M-Press Delivery"
7.9,14,2,12,1764,"C","N","M-Press Delivery"
14.4,17,6,3,2151,"C","H","Fed Post"
9.8,7,4,10,1554,"I","N","M-Press Delivery"
14.4,14,2,13,2692,"C","N","M-Press Delivery"
15.2,18,6,8,1941,"C","N","Fed Post"
18.7,15,7,6,2415,"C","N","Fed Post"
8.2,12,5,8,1059,"C","N","Fed Post"
6.5,11,7,6,1247,"C","N","Fed Post"
10.2,11,5,12,1496,"C","H","M-Press Delivery"
9.5,17,3,5,1791,"I","N","M-Press Delivery"
13.1,18,4,13,2513,"C","N","M-Press Delivery"
8.2,10,4,8,1243,"C","H","M-Press Delivery"
10.1,10,6,10,1023,"I","N","Fed Post"
9.6,14,5,8,2149,"C","H","M-Press Delivery"
9.6,8,3,6,1589,"C","N","M-Press Delivery"
12,11,2,9,1743,"C","N","Fed Post"
8.4,10,2,18,981,"C","H","Fed Post"
9.4,19,7,8,1562,"I","N","M-Press Delivery"
10.5,8,3,9,1540,"C","N","Fed Post"
13.3,17,5,9,1736,"C","N","Fed Post"
9.5,13,3,12,1474,"I","N","M-Press Delivery"
15.5,13,6,8,2354,"C","N","Fed Post"
16.4,17,2,8,2570,"C","N","M-Press Delivery"
8.7,13,6,9,1598,"C","N","M-Press Delivery"
9.4,11,2,10,1350,"C","N","Fed Post"
15.7,16,5,6,1974,"I","N","Fed Post"
13.9,14,7,15,2014,"C","N","Fed Post"
14.4,13,1,10,2357,"C","N","M-Press Delivery"
11.6,3,4,6,1881,"I","N","M-Press Delivery"
12.6,14,3,12,2105,"C","H","Fed Post"
12.9,10,6,6,1899,"C","N","M-Press Delivery"
11.6,18,3,6,1781,"I","N","Fed Post"
17.1,21,6,12,1884,"I","H","M-Press Delivery"
18.4,10,3,11,2591,"C","N","Fed Post"
10.8,17,4,7,1964,"C","N","M-Press Delivery"
16.2,11,4,16,2745,"I","N","Fed Post"
13.7,11,3,5,2086,"C","H","Fed Post"
11.1,11,4,8,2041,"C","N","M-Press Delivery"
12.5,11,3,12,1747,"I","N","Fed Post"
13.9,19,2,7,2097,"I","N","Fed Post"
9.7,21,2,9,1558,"C","N","Fed Post"
13.8,10,3,9,2211,"C","N","Fed Post"
7.3,16,3,8,1405,"C","N","M-Press Delivery"
7.3,11,3,13,1538,"C","N","M-Press Delivery"
5.4,12,2,9,831,"C","N","M-Press Delivery"
8.6,10,3,17,1355,"C","N","M-Press Delivery"
12.2,14,3,5,1691,"I","H","Fed Post"
11.9,12,5,4,1661,"C","N","Fed Post"
14.4,11,2,7,2282,"I","H","Fed Post"
9.7,12,1,10,1773,"C","N","M-Press Delivery"
8.3,9,4,8,1203,"I","N","M-Press Delivery"
16.3,14,3,8,2356,"C","N","Fed Post"
12.6,10,3,12,1899,"C","N","Fed Post"
11.6,12,6,9,1696,"I","H","Fed Post"
9.1,20,4,7,1380,"I","N","Fed Post"
9,19,2,10,1621,"I","H","M-Press Delivery"
11.9,13,3,11,1665,"C","N","Fed Post"
10.7,18,1,6,2340,"C","N","M-Press Delivery"
13.1,12,5,9,2018,"C","N","Fed Post"
8.2,12,5,8,1581,"C","N","M-Press Delivery"
17.3,15,2,7,2712,"C","N","M-Press Delivery"
14.9,12,1,7,2370,"C","N","Fed Post"
13.9,12,7,16,2549,"C","H","M-Press Delivery"
14.9,11,4,6,2312,"C","N","Fed Post"
11,7,1,15,1986,"C","H","M-Press Delivery"
11.5,9,3,10,1690,"I","N","Fed Post"
8.9,9,2,12,798,"I","N","Fed Post"
13.5,7,2,7,2359,"C","N","M-Press Delivery"
9.6,13,6,9,1034,"I","N","Fed Post"
15.8,10,2,8,2531,"I","N","Fed Post"
9.4,20,4,11,2179,"I","N","M-Press Delivery"
13.9,16,3,6,2158,"C","N","M-Press Delivery"
8.6,8,1,8,1173,"C","H","Fed Post"
13.4,12,11,6,2308,"C","N","M-Press Delivery"
16.6,14,1,3,2414,"C","N","M-Press Delivery"
8.5,17,5,6,1932,"C","N","M-Press Delivery"
14.6,13,7,5,1744,"I","H","Fed Post"
8.1,17,7,6,1290,"I","N","M-Press Delivery"
9.3,15,4,14,2092,"C","N","M-Press Delivery"
7,16,5,9,1228,"C","N","Fed Post"
6.7,20,5,7,1450,"C","N","Fed Post"
9.8,8,3,5,1890,"C","N","M-Press Delivery"
7.2,11,8,5,1339,"C","N","M-Press Delivery"
13.2,16,6,8,1665,"C","N","Fed Post"
11,10,2,10,961,"C","N","Fed Post"
8.9,8,4,12,1393,"C","N","Fed Post"
7.7,12,7,4,1156,"C","N","M-Press Delivery"
12.5,15,2,6,1704,"I","N","Fed Post"
7.4,8,2,8,1114,"I","N","M-Press Delivery"
9.1,10,6,11,1935,"C","N","M-Press Delivery"
14.7,14,3,6,2643,"C","N","M-Press Delivery"
13.4,18,6,5,1954,"I","N","Fed Post"
10.9,14,2,10,1384,"C","H","Fed Post"
13.1,19,4,11,2338,"I","N","M-Press Delivery"
15.5,25,4,8,1776,"I","N","Fed Post"
10.5,14,6,4,1366,"C","H","Fed Post"
14.9,20,2,14,1669,"I","N","Fed Post"
10.1,8,2,13,1688,"I","N","M-Press Delivery"
5.3,16,8,10,960,"C","H","Fed Post"
12.6,10,4,12,1390,"C","N","Fed Post"
12.8,18,5,10,2092,"C","N","Fed Post"
13.1,8,4,6,2028,"C","N","Fed Post"
12.9,17,4,9,2052,"C","N","M-Press Delivery"
7,13,3,8,870,"I","N","Fed Post"
7.5,10,3,11,1294,"C","N","M-Press Delivery"
13.9,10,2,8,1963,"I","H","Fed Post"
10.4,16,2,7,1403,"C","N","Fed Post"
12.6,17,4,10,2142,"C","H","M-Press Delivery"
13.2,9,2,6,2593,"C","N","M-Press Delivery"
14.4,9,4,9,1973,"C","N","Fed Post"
10.8,3,3,9,1464,"I","N","Fed Post"
6,18,4,8,1193,"C","N","Fed Post"
5.8,13,5,18,1015,"C","H","M-Press Delivery"
8.9,14,7,7,1524,"C","H","M-Press Delivery"
16.7,11,6,10,2540,"C","N","Fed Post"
10.6,13,5,8,1748,"I","N","M-Press Delivery"
13.1,9,7,8,2555,"C","N","M-Press Delivery"
14.5,19,2,10,2270,"C","N","M-Press Delivery"
8.6,14,3,9,1171,"C","N","Fed Post"
11.2,13,6,7,1689,"C","H","Fed Post"
9.3,6,4,11,1747,"C","H","M-Press Delivery"
14.7,16,3,8,2264,"C","N","Fed Post"
13.3,14,3,6,1509,"C","H","Fed Post"
6.7,11,4,8,989,"I","N","M-Press Delivery"
13.4,18,8,11,1710,"I","N","Fed Post"
9.1,9,4,7,1198,"C","N","Fed Post"
11,11,3,8,1610,"C","N","Fed Post"
7.2,13,3,4,1103,"C","N","M-Press Delivery"
13.2,13,5,9,2164,"C","N","Fed Post"
15.2,6,2,12,2441,"C","N","Fed Post"
11.4,17,6,5,1994,"I","N","Fed Post"
12.9,17,6,8,1544,"I","H","M-Press Delivery"
9.6,14,4,9,1529,"C","H","M-Press Delivery"
9.2,17,6,6,1870,"I","N","M-Press Delivery"
13.1,11,2,14,1966,"C","H","Fed Post"
13.3,14,2,5,2551,"I","N","M-Press Delivery"
12.4,13,2,15,1656,"C","N","M-Press Delivery"
4.7,16,4,7,343,"C","N","M-Press Delivery"
11.8,19,7,10,2186,"C","N","M-Press Delivery"
14.9,14,3,9,2540,"C","N","M-Press Delivery"
8.8,13,2,7,1206,"C","N","Fed Post"
10.6,12,5,13,1849,"C","N","M-Press Delivery"
12.2,10,1,11,1988,"C","N","Fed Post"
7.5,13,3,9,934,"C","N","Fed Post"
8.8,18,3,3,920,"C","N","M-Press Delivery"
5.9,13,4,8,790,"I","N","M-Press Delivery"
9,11,7,11,1603,"C","N","M-Press Delivery"
9,12,11,8,1025,"C","N","Fed Post"
11.7,18,4,10,1214,"C","H","Fed Post"
10.8,9,3,9,1964,"C","N","M-Press Delivery"
