"Del","Vin","Pkg","Cst","Mil","Dom","Haz","Car"
8.4,17,8,8,2122,"C","N","M-Press Delivery"
9.3,18,6,7,2390,"C","N","Fed Post"
9.6,13,5,5,1141,"C","N","Fed Post"
7.4,6,4,12,2469,"C","N","Fed Post"
9,14,6,10,1488,"I","N","Fed Post"
6,8,7,12,852,"C","N","Fed Post"
6.7,9,1,11,1238,"C","H","M-Press Delivery"
6.9,12,1,7,1608,"C","N","M-Press Delivery"
9.2,13,6,9,1098,"C","N","Fed Post"
6.4,5,3,8,1717,"C","N","Fed Post"
8.3,15,7,10,1953,"C","N","Fed Post"
9.5,11,8,8,1349,"C","N","Fed Post"
5.3,10,3,11,1777,"C","N","M-Press Delivery"
8.7,10,4,10,1365,"C","N","Fed Post"
9.6,12,5,9,1584,"C","H","M-Press Delivery"
7.7,14,1,11,1584,"C","N","Fed Post"
8.7,20,6,3,1621,"C","N","M-Press Delivery"
8.8,17,4,6,1686,"C","N","M-Press Delivery"
6.7,15,2,10,1127,"C","N","M-Press Delivery"
9.4,7,7,4,1531,"C","N","M-Press Delivery"
9.1,11,5,8,1872,"C","H","M-Press Delivery"
7.7,11,4,7,1945,"C","N","M-Press Delivery"
4.3,10,2,12,1810,"C","N","M-Press Delivery"
7.4,7,4,10,1891,"C","H","M-Press Delivery"
10.6,4,7,11,1611,"C","N","M-Press Delivery"
7.1,5,3,6,872,"C","N","Fed Post"
13.8,15,10,9,1814,"C","N","Fed Post"
8,16,3,10,2011,"I","H","Fed Post"
6.6,8,3,15,2397,"C","N","Fed Post"
9.6,14,5,7,1180,"C","H","M-Press Delivery"
7.4,15,2,9,83,"C","N","M-Press Delivery"
5.9,13,3,23,1030,"C","N","M-Press Delivery"
7.5,16,3,8,1379,"I","N","M-Press Delivery"
7.8,12,6,12,1714,"C","N","Fed Post"
7.7,9,6,8,1916,"C","N","M-Press Delivery"
11.3,14,13,10,2158,"C","N","Fed Post"
8.3,17,4,9,1841,"C","N","M-Press Delivery"
6.7,16,6,13,2050,"C","H","M-Press Delivery"
7,15,1,6,2075,"C","N","Fed Post"
9.2,8,3,5,1861,"C","N","Fed Post"
11,17,11,8,2757,"C","H","Fed Post"
5.3,17,0,9,1822,"C","N","Fed Post"
7.4,12,5,13,1801,"C","N","M-Press Delivery"
6,11,3,10,1344,"C","N","Fed Post"
6.1,11,1,10,1260,"C","N","M-Press Delivery"
8.4,9,3,8,2433,"C","N","Fed Post"
8.1,11,7,6,977,"I","N","Fed Post"
6.8,11,5,14,1259,"C","N","M-Press Delivery"
4.5,14,3,14,898,"I","N","M-Press Delivery"
5.5,7,4,11,1384,"I","N","Fed Post"
10.5,10,4,3,1240,"C","N","M-Press Delivery"
6.9,20,3,10,1558,"C","H","M-Press Delivery"
7.1,10,1,9,1557,"C","H","Fed Post"
7.5,13,3,9,1632,"C","N","Fed Post"
4.9,11,3,14,1711,"C","N","M-Press Delivery"
7.9,8,3,6,1641,"C","N","Fed Post"
3.9,14,3,13,616,"C","N","M-Press Delivery"
4.6,20,3,15,1441,"C","N","Fed Post"
8.9,11,5,4,615,"C","N","M-Press Delivery"
9.3,16,9,7,2185,"C","N","Fed Post"
6.9,14,2,7,1544,"C","H","Fed Post"
8.3,9,6,12,2459,"C","N","M-Press Delivery"
7.9,11,3,12,1689,"I","N","M-Press Delivery"
6.3,9,4,12,862,"C","N","M-Press Delivery"
7.9,16,8,10,1551,"C","N","M-Press Delivery"
6.3,9,6,8,1692,"C","N","Fed Post"
6.8,14,4,9,1056,"C","N","M-Press Delivery"
7.5,13,3,9,2283,"I","N","Fed Post"
5.1,10,3,12,1184,"C","H","M-Press Delivery"
7.5,12,1,8,1774,"C","N","Fed Post"
6.6,13,4,7,711,"C","N","M-Press Delivery"
10.3,14,7,7,1670,"C","N","Fed Post"
5.3,18,3,8,599,"C","N","M-Press Delivery"
8.2,15,6,16,1414,"I","N","Fed Post"
5.8,10,3,15,1275,"C","N","M-Press Delivery"
7.3,12,4,6,1017,"C","N","Fed Post"
6.2,12,4,9,1566,"C","N","M-Press Delivery"
9.2,19,5,10,3123,"C","N","M-Press Delivery"
7.7,12,6,16,1101,"C","N","M-Press Delivery"
8.9,14,3,6,2501,"C","N","Fed Post"
9.4,16,6,9,1675,"I","N","Fed Post"
6.6,13,6,16,1418,"C","H","M-Press Delivery"
7.9,9,2,11,1825,"C","N","M-Press Delivery"
9.4,12,3,7,1889,"C","N","Fed Post"
7.6,10,4,8,1727,"C","N","M-Press Delivery"
6.5,7,3,10,1361,"C","N","Fed Post"
6,13,1,11,1753,"I","H","M-Press Delivery"
6.3,23,3,12,1734,"C","H","M-Press Delivery"
5.3,12,5,12,1021,"C","N","M-Press Delivery"
9,15,8,8,1341,"C","N","Fed Post"
7.5,14,1,6,1564,"C","N","M-Press Delivery"
9.4,18,5,6,2268,"C","N","Fed Post"
6.6,8,6,8,1820,"I","H","M-Press Delivery"
